Iteration,Time,LagrangianValue,x_norm_residual,λ_norm_residual,Dual_gap
1,0.3519918918609619,4.013712966112884,2.8838049815211586,1.9516700801240592,3.249158616755148
2,0.00028204917907714844,3.4826858309773367,0.5659658361197424,0.8101118340686245,3.780185751890695
3,0.00011491775512695312,3.890643075902864,0.14386022464037512,0.21427808884375205,3.372228506965168
4,9.608268737792969e-5,3.9919715440616312,0.05628907819355101,0.11545745745316839,3.2709000388064005
5,0.000102996826171875,4.075254890461695,0.02241949556234193,0.07763363139839315,3.187616692406337
6,8.988380432128906e-5,4.140507676167888,0.01783818300684541,0.05735043065097905,3.1223639067001434
7,8.702278137207031e-5,4.194197085503721,0.013607536180623745,0.04489085713288163,3.0686744973643103
8,8.797645568847656e-5,4.239359758925621,0.010950658191041419,0.0365328672619537,3.0235118239424104
9,8.702278137207031e-5,4.278077513719712,0.009068736967176106,0.03057795168222596,2.98479406914832
10,8.58306884765625e-5,4.311776399552619,0.007684355835445995,0.026142363875201528,2.951095183315413
11,0.00011491775512695312,4.341475247563308,0.0066287073068012955,0.022724166220969455,2.921396335304724
12,8.797645568847656e-5,4.367923739910697,0.005800560236452949,0.02001825100517404,2.8949478429573343
13,8.511543273925781e-5,4.391687507514357,0.0051355969467209266,0.017829049203080226,2.871184075353675
14,9.202957153320312e-5,4.4132024920223385,0.004591247062330106,0.016025727499051054,2.849669090845693
15,8.511543273925781e-5,4.432810894264488,0.004138329977555554,0.014517625413151188,2.8300606886035435
16,8.606910705566406e-5,4.450785648200388,0.0037562384956058813,0.013240041467754874,2.8120859346676434
17,8.606910705566406e-5,4.467347509481284,0.0034300416460455946,0.012145629599739196,2.7955240733867477
18,8.58306884765625e-5,4.482677254816718,0.00314867700291765,0.01119898939326731,2.780194328051314
19,8.606910705566406e-5,4.496924563559959,0.0029037862915686,0.010373151692487164,2.765947019308073
20,9.179115295410156e-5,4.510214597884998,0.0026889441144534,0.009647230008758062,2.752656984983034
21,0.00011110305786132812,4.5226529549335215,0.0024991343002291957,0.009004811645618664,2.74021862793451
22,8.702278137207031e-5,4.534329446780883,0.002330386472768322,0.00843283119278045,2.7285421360871487
23,8.487701416015625e-5,4.545321022861832,0.002179518800595581,0.007920766274875132,2.7175505600061998
24,0.0001289844512939453,4.555694055884851,0.0020439526435919926,0.007460053281784718,2.7071775269831804
25,0.00013208389282226562,4.565506149010105,0.0019215768374644749,0.0070436561999299785,2.697365433857927
26,0.00013518333435058594,4.574807578574604,0.0018106468571835734,0.006665743874604703,2.6880640042934276
27,0.00011491775512695312,4.583642456264278,0.0017097088856546313,0.00632144529276412,2.6792291266037536
28,9.202957153320312e-5,4.592049673093439,0.0016175419293652602,0.006006661820828499,2.6708219097745927
29,0.00010895729064941406,4.600063672073989,0.0015331131892781544,0.005717921572548749,2.6628079107940428
30,8.988380432128906e-5,4.6077150851957915,0.0014555432897118588,0.005452265321278469,2.65515649767224
31,0.00013399124145507812,4.615031262050083,0.0013840789237179942,0.005207156296476659,2.6478403208179486
32,9.489059448242188e-5,4.622036711260394,0.001318071138265411,0.004980408252548695,2.6408348716076375
33,0.00010204315185546875,4.62875347124977,0.001256957951124535,0.0047701276515585405,2.6341181116182613
34,9.202957153320312e-5,4.635201423356711,0.0012002503258934283,0.004574666845534579,2.6276701595113208
35,9.107589721679688e-5,4.641398557620537,0.0011475207731539904,0.004392585902970219,2.6214730252474947
36,8.988380432128906e-5,4.6473611994798905,0.001098394022166433,0.004222621281602755,2.6155103833881412
37,8.893013000488281e-5,4.6531042040129185,0.0010525393375941236,0.004063659963211685,2.6097673788551132
38,8.916854858398438e-5,4.658641123081919,0.001009664152693945,0.003914717976023356,2.6042304597861126
39,9.703636169433594e-5,4.663984349747298,0.0009695087631685882,0.003774922464440041,2.5988872331207338
40,8.893013000488281e-5,4.6691452435228324,0.0009318418811451903,0.0036434966442122655,2.5937263393451992
41,0.00011396408081054688,4.674134239411362,0.0008964568908513576,0.003519747118169005,2.5887373434566694
42,9.107589721679688e-5,4.678960943150737,0.0008631686800776733,0.0034030531336025583,2.5839106397172946
43,8.893013000488281e-5,4.683634214689284,0.0008318109466638948,0.003292857444965359,2.579237368178748
44,8.988380432128906e-5,4.68816224157549,0.0008022338989167291,0.0031886585102810327,2.5747093412925413
45,9.012222290039062e-5,4.6925526036744385,0.0007743022843189716,0.0030900038007565223,2.570318979193593
46,9.012222290039062e-5,4.6968123303993785,0.0007478936931014208,0.0029964840436410363,2.566059252468653
47,8.988380432128906e-5,4.700947951462939,0.0007228970929750272,0.0029077282507472125,2.561923631405093
48,8.988380432128906e-5,4.7049655419996315,0.0006992115590659774,0.0028233994110357197,2.5579060408684002
49,8.797645568847656e-5,4.708870762784609,0.0006767451694129447,0.002743190746627568,2.5540008200834228
50,8.893013000488281e-5,4.712668896167844,0.0006554140413495444,0.0026668224485977784,2.550202686700188
51,0.00011110305786132812,4.716364878254312,0.0006351414882815689,0.0025940388227505312,2.5465067046137193
52,9.703636169433594e-5,4.719963327786132,0.0006158572796718588,0.002524605786893754,2.5429082550818993
53,9.012222290039062e-5,4.723468572119954,0.0005974969898046339,0.002458308670439902,2.539403010748078
54,8.893013000488281e-5,4.726884670639542,0.0005800014231742494,0.0023949502748335833,2.5359869122284895
55,8.893013000488281e-5,4.730215435898392,0.0005633161061889703,0.002334349159663542,2.5326561469696394
56,8.988380432128906e-5,4.733464452748679,0.00054739083646407,0.002276338124604036,2.5294071301193526
57,8.893013000488281e-5,4.736635095680034,0.0005321792822394889,0.0022207628617408877,2.5262364871879974
