Iteration,Time,LagrangianValue,x_norm_residual,λ_norm_residual,Dual_gap
1,0.0004930496215820312,-78.09694170346575,59.082688209490236,6.192001618661032,157.76115232346575
2,0.0002090930938720703,-78.81317584438872,0.18280362453052754,0.11369321294392142,158.47738646438873
3,0.00022411346435546875,-79.13466666673837,0.17521679730329265,0.23249868296486645,158.7988772867384
4,0.00015115737915039062,-79.23328443201976,0.15455573945695403,0.08964723782369138,158.89749505201976
5,0.00014781951904296875,-85.24364937391547,0.11822257039205031,0.6604994033143503,164.90785999391548
6,0.00014591217041015625,-82.68229042009955,1.6035419381512876,0.20683794010123677,162.34650104009955
7,0.00015091896057128906,-80.34267662515089,0.24889227896936508,0.3449543806078087,160.0068872451509
8,0.0001499652862548828,-76.51438338370961,0.8326557320433708,0.36127448692106534,156.17859400370963
9,0.00016498565673828125,-71.48368890314438,2.245770443396078,0.196104140370695,151.1478995231444
10,0.00015115737915039062,-70.54529641155105,0.4338542971285754,0.1867112927883153,150.20950703155106
11,0.00016188621520996094,-76.02115332833704,0.9624269130101465,0.058089667435630016,155.68536394833706
12,0.00013399124145507812,-76.77918552709716,0.27008609822633833,0.04479892343567135,156.44339614709716
13,0.0001418590545654297,-77.674439993404,0.09846594658336368,0.06383268709922502,157.338650613404
14,0.00014710426330566406,-77.95101627300016,0.055617974024872605,0.07978099873340033,157.61522689300017
15,0.00015115737915039062,-77.01370431791233,0.22239510731524526,0.07298361098514115,156.67791493791233
16,0.00015020370483398438,-78.33725747794632,0.30623368161712744,0.17153855327213735,158.00146809794632
17,0.00018715858459472656,-78.1297108526939,0.10158081247202595,0.2264629686790743,157.7939214726939
18,0.0001499652862548828,-77.86245167209731,0.06644008871995313,0.024929666493772304,157.5266622920973
19,0.00015592575073242188,-78.10999802543502,0.16802319610276428,0.027058629074044365,157.774208645435
20,0.0001518726348876953,-77.40016165840065,0.19786241874288307,0.02351162284581123,157.06437227840064
21,0.00016307830810546875,-77.76686625005958,0.030563917910035286,0.016919906905984803,157.4310768700596
22,0.00018310546875,-77.67600494624288,0.07510646329629102,0.0280489746323093,157.34021556624288
23,0.00014781951904296875,-77.82432738621085,0.07488288453268627,0.02332881612168756,157.48853800621086
24,0.0001468658447265625,-77.30498088545862,0.17585105551888158,0.02643396046105193,156.96919150545864
25,0.0001480579376220703,-76.31269160060504,0.021029468743465514,0.028304722043243524,155.97690222060504
26,0.00015211105346679688,-76.38812122561299,0.042764074298111354,0.03939229749630648,156.052331845613
27,0.00016999244689941406,-75.779774609108,0.15011514746796106,0.10024102801873247,155.44398522910802
28,0.00014901161193847656,-75.51052400850055,0.4547063823627615,0.06174931997980169,155.17473462850057
29,0.00014901161193847656,-73.02121380104445,0.29173195455938344,0.3610655190721145,152.68542442104444
30,0.0001480579376220703,-57.56917651711564,1.6997134283504567,2.6263149052128707,137.23338713711564
31,0.0001621246337890625,-65.57206889621308,12.147780447960026,2.862132938339038,145.23627951621307
32,0.00015115737915039062,-74.65732257028662,13.162127329518299,0.08161644324438413,154.32153319028663
33,0.0001819133758544922,-75.12059764108677,0.33042457081551885,0.048032557351335756,154.78480826108677
34,0.00015020370483398438,-75.48663164077017,0.22595283251243362,0.03566938509862776,155.15084226077016
35,0.0001480579376220703,-76.09354340384516,0.15695697839102332,0.0564515696129245,155.75775402384517
