Iteration,Time,DualValue,x_norm_residual,λ_norm_residual,Dual_gap
1,0.3481431007385254,3273.6208750747414,0.0,0.0,89335.79392157232
2,0.004409074783325195,5941.0690650988,7.952220335019896e-12,10.06562132782879,86668.34573154827
3,0.0046231746673583984,20738.370148075723,603.3457299093551,7.155130182238921,71871.04464857135
4,0.0039141178131103516,35457.25865749985,428.88730877089523,8.43642908495152,57152.15613914721
5,0.0037920475006103516,35459.931896328926,4.897510039684959e-12,4.226761741709564,57149.48290031814
6,0.003704071044921875,44880.63170387367,2.0415559556974744e-12,7.5759068164647125,47728.783092773396
7,0.0037889480590820312,78399.47332250129,662.5317792627932,5.943763915758782,14209.941474145773
8,0.003799915313720703,78402.11189856581,8.890774413786898e-12,4.171957331594701,14207.302898081252
9,0.0037689208984375,78403.92241294903,9.165972215596502e-12,2.862673890642791,14205.49238369803
10,0.003837108612060547,78405.18282494074,8.794047527581972e-12,1.992886990816393,14204.231971706322
11,0.003935098648071289,78406.08463195199,5.63452727099903e-12,1.425881390547228,14203.330164695071
12,0.003885984420776367,78406.7490829898,7.0435976708866375e-12,1.0505875626197163,14202.665713657261
13,0.00722193717956543,78407.25222049236,7.553264185785665e-12,0.7955321384291767,14202.162576154704
14,0.006938934326171875,82285.29282645191,6.251967752374457e-12,2.050930464019582,10324.121970195149
20,0.004285097122192383,90955.77537274807,1.0853560361651628e-11,1.2488228920612392,1653.6394238989888
21,0.004055023193359375,86492.6594651122,112.79470086458225,1.199624735260308,6116.755331534863
27,0.004004001617431641,91230.54980065687,5.2465767812625176e-12,0.9340438764252149,1378.864995990196
28,0.004152059555053711,86093.15086176025,84.35533248349752,0.2621845400883519,6516.263934886811
29,0.004086017608642578,86093.30171000076,9.670618934735835e-12,0.23851090536080932,6516.113086646306
30,0.004153013229370117,86093.43805871959,8.098367658013215e-12,0.21558835438292656,6515.976737927471
31,0.004625797271728516,86093.56076762693,1.0336313593080324e-11,0.19401911946510975,6515.8540290201345
32,0.004086017608642578,87228.36483364317,1.2139499357311246e-11,0.5717542798030905,5381.049963003898
33,0.0068359375,90381.81563954003,51.53449436012096,0.16976701632703264,2227.5991571070335
34,0.004575967788696289,90381.91505382852,9.37585572995458e-12,0.15718759819246966,2227.499742818545
35,0.003958940505981445,91369.00616062805,8.975592715944643e-12,0.4849659757870445,1240.4086360190122
36,0.012077093124389648,94111.11620640129,43.76506882111907,0.1433240844234276,-1501.701409754227
40,0.004171848297119141,90917.25554086229,37.44768224040762,0.12028073531660376,1692.1592557847762
41,0.0041790008544921875,90917.32762496494,8.55754021954728e-12,0.1139723015035194,1692.0871716821275
42,0.0040509700775146484,90917.39555768107,7.995890740968598e-12,0.10741192452764686,1692.0192389659933
43,0.006783008575439453,90917.45928994026,7.838031293637247e-12,0.10076709470043348,1691.9555067067995
44,0.006840944290161133,90917.51885342941,6.0748876044188655e-12,0.09417889712373255,1691.895943217649
45,0.0063588619232177734,91511.85435586172,5.876758087832178e-12,0.29111323226344676,1097.5604407853389
52,0.004069089889526367,91317.48040283853,21.55584238834689,0.07063489918197208,1291.9343938085367
53,0.00695490837097168,91317.52342382196,6.944667530848194e-12,0.06802118667363294,1291.8913728251064
54,0.00432586669921875,91317.56468218208,9.798880664155554e-12,0.06523516628854309,1291.850114464978
55,0.004199028015136719,91739.13700499537,1.1586421785909933e-11,0.206023532196277,870.2777916516934
64,0.007133960723876953,92532.43310713394,9.083618692385981e-12,0.17823559144887624,76.98168951312255
65,0.011761903762817383,91529.8838796143,16.095253424949284,0.05287810077938916,1079.5309170327673
66,0.008022785186767578,91875.013010489,8.007970362207505e-12,0.1684631017039899,734.4017861580651
75,0.007801055908203125,92512.07749814875,8.338607829059225e-12,0.15149086512033758,97.33729849831434
76,0.011894941329956055,91659.64625187728,13.679836162753583,0.04528338105516273,949.7685447697877
77,0.0066339969635009766,91659.67408273331,5.704219121225876e-12,0.044005163353813416,949.7407139137504
78,0.0041158199310302734,91659.7010377878,5.75960512838778e-12,0.0426173132705536,949.7137588592595
79,0.0042819976806640625,91659.72705831341,7.337478589040383e-12,0.04114378799257224,949.6877383336541
80,0.004264116287231445,91927.30028440451,8.62714910900411e-12,0.13051115765469126,682.1145122425514
93,0.0039517879486083984,92430.66683018734,6.011266384391512e-12,0.11252554299078205,178.74796645971946
94,0.01600790023803711,91797.35155476483,10.160778325394832,0.033813251029536744,812.0632418822352
95,0.00813603401184082,91797.37243909249,1.2257751529832102e-11,0.033020318421286554,812.0423575545719
96,0.0047359466552734375,91797.39277318484,1.0999144516199388e-11,0.03215141710076568,812.0220234622248
97,0.004235982894897461,91797.41251884867,6.69443720394427e-12,0.031219644519850015,812.0022777983977
98,0.004281044006347656,91797.43164297097,9.597173088711874e-12,0.030238152577593654,811.9831536760903
99,0.004169940948486328,91797.45012291,8.183294173950559e-12,0.029219738304376262,811.964673737064
100,0.004126071929931641,91797.4679440643,7.782466689386003e-12,0.028176507871894477,811.9468525827688
101,0.00423884391784668,91797.48509694054,8.541657560522633e-12,0.027119621861872247,811.9296997065248
102,0.00421905517578125,91973.05912779208,6.241499760979092e-12,0.0855712664558038,636.355668854987
103,0.0069501399993896484,92455.11164429874,7.725113191933242,0.025598766081679474,154.30315234832233
104,0.006969928741455078,92455.12732452675,6.610665327195604e-12,0.024793632785734574,154.28747212031158
105,0.012018918991088867,92455.14248502944,1.0487621667056153e-11,0.02396992393931848,154.2723116176203
106,0.008478879928588867,92455.15711623302,9.359407765766396e-12,0.02313535052150982,154.2576804140408
