Iteration,Time,DualValue,x_norm_residual,λ_norm_residual,Dual_gap
1,0.00030303001403808594,12.84911130917669,1.1102230246251565e-16,0.3084396926403772,1.5737428825687996
2,0.0005130767822265625,13.568578330827968,3.3306690738754696e-16,0.5107894542869864,0.8542758609175216
3,0.00021600723266601562,13.830034287771403,2.220446049250313e-16,0.1851724337544741,0.5928199039740871
4,8.511543273925781e-5,13.967532751982315,0.0,0.097305982695575,0.45532143976317485
5,5.507469177246094e-5,14.052809293856381,1.1102230246251565e-16,0.06032925442592895,0.3700448978891089
6,8.392333984375e-5,14.111005508589654,1.1102230246251565e-16,0.04116426183799086,0.31184868315583536
7,5.1975250244140625e-5,14.153303705158416,0.0,0.02991616451763639,0.2695504865870735
8,4.601478576660156e-5,14.18545681435977,0.0,0.02273951947115084,0.23739737738572053
9,6.389617919921875e-5,14.210733942721337,1.1102230246251565e-16,0.01787594652941012,0.21212024902415294
10,6.699562072753906e-5,14.231132844689364,1.1102230246251565e-16,0.014425681402664455,0.19172134705612542
11,0.00010609626770019531,14.247944251181107,0.0,0.011888447047807336,0.17490994056438325
12,7.009506225585938e-5,14.262039698966765,0.0,0.009967670420403878,0.16081449277872473
13,4.792213439941406e-5,14.27402916016742,0.0,0.00847831737571665,0.14882503157807037
14,4.696846008300781e-5,14.284352438253737,0.0,0.0073000174785876745,0.1385017534917523
15,4.601478576660156e-5,14.29333470522677,0.0,0.006351689701115519,0.12951948651872058
16,4.601478576660156e-5,14.301221600786683,0.0,0.005577081845007228,0.12163259095880719
17,4.601478576660156e-5,14.308202168291158,0.0,0.004936165451283178,0.11465202345433134
18,7.891654968261719e-5,14.314424280138077,0.0,0.004399822688673912,0.10842991160741278
19,7.700920104980469e-5,14.320005275327427,0.0,0.003946459563798919,0.10284891641806304
20,4.887580871582031e-5,14.3250394587591,1.1102230246251565e-16,0.0035597860940157506,0.09781473298638943
21,0.00011992454528808594,14.329603492417922,1.1102230246251565e-16,0.0032273252085914836,0.09325069932756769
22,4.601478576660156e-5,14.333760339248762,0.0,0.00293938907902624,0.08909385249672752
23,4.291534423828125e-5,14.337562193833342,0.0,0.002688362512538792,0.08529199791214737
24,4.1961669921875e-5,14.341052691217639,2.220446049250313e-16,0.0024681924204697572,0.08180150052785073
25,5.602836608886719e-5,14.344268593230014,4.440892098500626e-16,0.0022740182784169987,0.07858559851547575
26,9.894371032714844e-5,14.347241091080937,2.220446049250313e-16,0.0021019007497355712,0.07561310066455285
27,8.416175842285156e-5,14.349996822427498,2.220446049250313e-16,0.0019486197499208311,0.07285736931799214
28,4.792213439941406e-5,14.352558673376851,2.220446049250313e-16,0.0018115223537036452,0.07029551836863845
29,4.506111145019531e-5,14.354946416694627,1.1102230246251565e-16,0.0016884069591961363,0.06790777505086254
30,4.506111145019531e-5,14.357177223973455,3.3306690738754696e-16,0.001577434153364561,0.0656769677720348
31,9.298324584960938e-5,14.359266079884954,4.440892098500626e-16,0.0014770574668201244,0.06358811186053615
32,5.0067901611328125e-5,14.361226119686481,0.0,0.0013859691011338644,0.06162807205900833
33,5.698204040527344e-5,14.363068906078,0.0,0.0013030570386493834,0.05978528566748942
34,4.506111145019531e-5,14.364804657757546,1.1102230246251565e-16,0.0012273708852188054,0.0580495339879441
35,4.38690185546875e-5,14.366442439231221,1.1102230246251565e-16,0.0011580944706832434,0.05641175251426844
36,4.1961669921875e-5,14.36799031933182,2.220446049250313e-16,0.001094523720791524,0.05486387241366941
37,4.315376281738281e-5,14.369455504304803,0.0,0.0010360486722508573,0.0533986874406871
38,4.38690185546875e-5,14.370844450099026,2.220446049250313e-16,0.0009821387672697582,0.052009741646463326
39,4.291534423828125e-5,14.372162957557686,2.220446049250313e-16,0.0009323307613790519,0.05069123418780386
40,4.410743713378906e-5,14.373416253472834,2.220446049250313e-16,0.0008862187268295905,0.0494379382726553
41,9.298324584960938e-5,14.374609059893897,1.1102230246251565e-16,0.000843445746476241,0.048245131851592404
42,6.389617919921875e-5,14.375745653629675,1.1102230246251565e-16,0.000803696979088972,0.047108538115814724
43,5.507469177246094e-5,14.376829917525471,0.0,0.0007666938432275496,0.04602427422001831
44,4.38690185546875e-5,14.377865384812164,0.0,0.0007321891180932287,0.04498880693332552
45,4.9114227294921875e-5,14.378855277595346,0.0,0.000699962799747572,0.04399891415014423
46,5.1975250244140625e-5,14.379802540368539,2.220446049250313e-16,0.0006698185824452219,0.04305165137695077
47,9.489059448242188e-5,14.380709869285266,3.3306690738754696e-16,0.0006415808595653498,0.04214432246022426
48,5.3882598876953125e-5,14.381579737803342,0.0,0.0006150921582521095,0.04127445394214746
49,7.510185241699219e-5,14.382414419215278,1.1102230246251565e-16,0.0005902109375251735,0.04043977253021147
50,9.989738464355469e-5,14.383216006497316,1.1102230246251565e-16,0.000566809692165984,0.039638185248174196
51,0.00017905235290527344,14.383986429842187,3.3306690738754696e-16,0.000544773314789092,0.03886776190330288
52,0.0002110004425048828,14.38472747218487,2.220446049250313e-16,0.0005239976766822721,0.03812671956061919
53,0.0002529621124267578,14.385440782984553,0.0,0.0005043883946434301,0.03741340876093702
54,0.0001590251922607422,14.386127890486947,0.0,0.0004858597564636164,0.03672630125854326
55,0.0001220703125,14.386790212659067,2.220446049250313e-16,0.00046833378214958054,0.036063979086423004
56,7.295608520507812e-5,14.387429066961127,2.220446049250313e-16,0.00045173940163400166,0.03542512478436244
57,9.989738464355469e-5,14.388045679097395,2.220446049250313e-16,0.00043601173274054016,0.03480851264809459
