Iteration,Time,DualValue,x_norm_residual,λ_norm_residual,Dual_gap
1,0.3458900451660156,3244.620875074743,0.0,0.0,89364.79392157232
2,0.004353046417236328,3244.8430972906326,1.8261940235259086e-11,0.351364184463152,89364.57169935643
3,0.004594087600708008,3244.926430624806,1.469573322782354e-11,0.131761569173682,89364.48836602225
4,0.003818035125732422,3244.966430613107,2.2422383901334144e-11,0.06324555320336764,89364.44836603396
5,0.0038008689880371094,3244.988652841604,1.8278856869733206e-11,0.035136418446313794,89364.42614380545
6,0.003813028335571289,3247.5748709753716,1.2780289466473165e-11,0.009759099533739633,89361.8399256717
7,0.004099130630493164,3250.0088624096306,0.5849724363398111,0.007142635101753481,89359.40593423744
8,0.003815889358520508,3250.4183009323324,0.4281383382734717,0.012557144842710557,89358.99649571473
9,0.003974199295043945,3250.4242226901633,2.443636399079126e-11,0.009363135847405588,89358.9905739569
10,0.00374603271484375,3251.248267320983,2.1292435112377758e-11,0.003100628462817305,89358.16652932607
11,0.0038819313049316406,3252.101166834518,0.18637212618490984,0.0025431640097555936,89357.31362981255
12,0.0037658214569091797,3252.250132769863,0.1528641336430464,0.00495174340904605,89357.16466387719
13,0.007500886917114258,3252.25269725643,1.1855875385714517e-11,0.004054777445579648,89357.16209939064
14,0.004463911056518555,3252.2548040055985,1.6942240091422728e-11,0.0033310861581161743,89357.15999264146
15,0.014143943786621094,3252.256543253203,1.9012054088105887e-11,0.002749995760715282,89357.15825339386
16,0.009582996368408203,3252.257987628534,8.302336274850006e-12,0.0022837569392079207,89357.15680901853
17,0.00413203239440918,3252.2591949171097,9.735419880588398e-12,0.001908888007060724,89357.15560172996
18,0.004378795623779297,3252.260210804392,2.2698849978538985e-11,0.0016062804204636104,89357.15458584267
19,0.0040171146392822266,3252.2610714220073,1.4564829798217716e-11,0.0013607349840067879,89357.15372522506
20,0.003997087478637695,3252.261805270532,1.3237349991855938e-11,0.0011603137664877915,89357.15299137653
21,0.0042400360107421875,3252.262435014043,2.4744788182956265e-11,0.0009956969364283987,89357.15236163302
22,0.003942966461181641,3252.2629786763446,1.426420780938347e-11,0.0008596212133965185,89357.15181797072
23,0.00699615478515625,3252.2634507484736,1.1178317536190404e-11,0.0007464197374485689,89357.15134589859
24,0.004240989685058594,3252.2638628944173,1.3204756981808101e-11,0.0006516579227787735,89357.15093375265
25,0.003955841064453125,3252.328336147604,1.699239502188215e-11,0.00024236053484615245,89357.08646049946
26,0.015599966049194336,3252.3426036631945,0.014581237999124306,0.000511316330933453,89357.07219298386
27,0.005166053771972656,3252.3938888497464,9.764607492412386e-12,0.00019277746010063445,89357.02090779731
28,0.00551605224609375,3252.4052465922323,0.011598610730010393,0.0004117996307940212,89357.00955005483
29,0.004011869430541992,3252.405481197687,1.602078172939411e-11,0.00037093869177401396,89357.00931544938
30,0.004288911819458008,3252.4431655556114,1.205906747653608e-11,0.00014164827597534812,89356.97163109145
31,0.003997087478637695,3252.4515165861376,0.008522651086869448,0.0003062348081764586,89356.96328006093
32,0.004101991653442383,3252.4828879729766,1.8272217645951695e-11,0.00011791620127877297,89356.93190867409
33,0.007328033447265625,3252.4898432888,0.007094911125671965,0.0002569186596383121,89356.92495335826
34,0.00767207145690918,3252.516344753131,1.0622314496289114e-11,9.960949597305767e-5,89356.89845189393
35,0.012135028839111328,3252.522222671483,0.005993528829809671,0.0002184454617862614,89356.89257397558
36,0.008893966674804688,3252.5223502667714,2.160641292223897e-11,0.0002017294143995504,89356.8924463803
37,0.0042629241943359375,3252.54329872811,9.881735512040521e-12,7.873646557195839e-5,89356.87149791895
38,0.0042650699615478516,3252.5479466510515,0.004737670463389946,0.00017378964624276228,89356.866849996
39,0.004585981369018555,3252.5480488016133,1.0592770483356527e-11,0.00016150194157136367,89356.86674784544
40,0.00407099723815918,3252.5481437854332,1.583261868981856e-11,0.00015021449187129827,89356.86665286163
41,0.0041120052337646484,3252.563842868933,1.8031033795380597e-11,5.9005449487472025e-5,89356.85095377814
42,0.0041081905364990234,3252.567327143307,0.0035504765459979373,0.00013105740225016744,89356.84746950376
43,0.0053369998931884766,3252.5674046460317,1.517513804252192e-11,0.00012254479942403062,89356.84739200103
44,0.00449681282043457,3252.567477166675,1.7490384812498025e-11,0.00011467134118367974,89356.84731948038
45,0.004927873611450195,3252.5675450851595,2.0101974529946187e-11,0.0001073874609783421,89356.8472515619
46,0.016427993774414062,3252.567608739934,2.2086304352969952e-11,0.00010064687782861653,89356.84718790713
47,0.006834983825683594,3252.56766845428,6.883045407244245e-12,9.440655440010016e-5,89356.84712819278
48,0.004212856292724609,3252.567724489556,2.0414264135238282e-11,8.86266050055082e-5,89356.84707215751
49,0.0042078495025634766,3252.5677771620426,2.0129277862526533e-11,8.327016839313401e-5,89356.84701948502
50,0.004129171371459961,3252.5678266942264,1.9754800392379623e-11,7.830325682314e-5,89356.84696995284
51,0.004312038421630859,3252.576091335466,2.325035630722508e-11,3.106262469710445e-5,89356.8387053116
52,0.004065036773681641,3252.5779261979105,0.0018691186254613393,6.967578592967159e-5,89356.83687044916
53,0.007292985916137695,3252.585303808134,1.1294495174072713e-11,2.772852508061515e-5,89356.82949283892
54,0.007607936859130859,3252.5869419737296,0.0016685057101764181,6.238781476074303e-5,89356.82785467333
55,0.011312007904052734,3252.593566646298,2.028792984070382e-11,2.4898509892398118e-5,89356.82123000076
56,0.006417989730834961,3252.5950377796557,0.001498222276418941,5.617313412284113e-5,89356.81975886741
57,0.034188032150268555,3252.595071517113,1.9514404540726627e-11,5.334012939373223e-5,89356.81972512996
58,0.0044171810150146484,3252.595103561257,2.6099674562817826e-11,5.0674967157493906e-5,89356.81969308581
59,0.004146099090576172,3252.595134029727,3.0837057595300885e-11,4.816712612732254e-5,89356.81966261733
60,0.004116058349609375,3252.5951630002055,1.560473776017586e-11,4.5806684463142585e-5,89356.81963364685
61,0.004170894622802734,3252.60004818893,2.8578641478232788e-11,1.8360699376769744e-5,89356.81474845813
62,0.003949880599975586,3252.605769708506,0.0011048259825883128,1.752474880783973e-5,89356.80902693856
63,0.007117033004760742,3252.611238116406,0.0010545239975799602,1.675451252031043e-5,89356.80355853065
64,0.004227161407470703,3252.6122284084518,0.0010081792572162484,3.808659314903634e-5,89356.8025682386
65,0.004384040832519531,3252.612251440359,1.4077973608651322e-11,3.643407114966167e-5,89356.80254520671
66,0.016920804977416992,3252.612273476887,1.1656706846716384e-11,3.486416170194938e-5,89356.80252317018
67,0.006752967834472656,3252.612294597409,1.7737479720287617e-11,3.337266412876265e-5,89356.80250204966
68,0.004083871841430664,3252.615875518357,2.1290782744342892e-11,1.345858664064348e-5,89356.7989211287
69,0.004544973373413086,3252.620089081446,0.0008098560907085408,1.2919185559458086e-5,89356.79470756561
70,0.00409388542175293,3252.6208528098978,0.0007773982262133843,2.948510763331226e-5,89356.79394383717
71,0.0041751861572265625,3252.620870706182,1.2604466930297053e-11,2.8316523349918044e-5,89356.79392594087
72,0.004170894622802734,3252.620887918871,9.476003169971726e-12,2.720096034062463e-5,89356.79390872818
73,0.004528045654296875,3252.623816328046,1.0914001493361695e-11,1.1006128823224128e-5,89356.79098031901
74,0.009835004806518555,3252.6272709284963,0.0006622849289300765,1.05980292726252e-5,89356.78752571857
75,0.005349874496459961,3252.6306004813873,0.0006377278603710272,1.021642265357786e-5,89356.78419616568
76,0.011978864669799805,3252.6312045224986,0.0006147661011336035,2.341331314284792e-5,89356.78359212456
77,0.0044209957122802734,3252.6312188070515,1.0922509162190987e-11,2.2576738234268274e-5,89356.78357784002
78,0.0075681209564208984,3252.6312325776353,8.615280715316951e-12,2.177351713539181e-5,89356.78356406942
79,0.004230022430419922,3252.6312458569646,9.136157065877194e-12,2.1002395748416883e-5,89356.7835507901
80,0.004294872283935547,3252.631258671506,1.372327209745088e-11,2.026214523247782e-5,89356.78353797556
81,0.0042040348052978516,3252.631271033815,1.5777141088619688e-11,1.9551564678900034e-5,89356.78352561325
82,0.00417017936706543,3252.6312829821136,5.939776175844254e-12,1.886948325983008e-5,89356.78351366495
83,0.007992029190063477,3252.6312944871984,1.4251703097326846e-11,1.8214761983652416e-5,89356.78350215986
84,0.00839090347290039,3252.6313056168983,1.1926791077257614e-11,1.7586294951867784e-5,89356.78349103016
85,0.01845407485961914,3252.6313163635946,2.029005676070757e-11,1.6983010335104883e-5,89356.78348028347
86,0.004579067230224609,3252.6313267331475,6.767155980698524e-12,1.6403870976983768e-5,89356.78346991392
87,0.004271984100341797,3252.6313367611324,1.4101909546824199e-11,1.5847874766264168e-5,89356.78345988593
88,0.0042040348052978516,3252.631346448028,1.439361536257065e-11,1.5314054707062166e-5,89356.78345019903
89,0.00424504280090332,3252.6313558031975,1.499137225397187e-11,1.4801478834590191e-5,89356.78344084386
90,0.004194021224975586,3252.6313648513697,1.477204895500665e-11,1.430924993429035e-5,89356.78343179569
91,0.004230022430419922,3252.631373607165,1.3857680336229785e-11,1.3836505078404401e-5,89356.7834230399
92,0.004229068756103516,3252.6313820559367,9.104427484507396e-12,1.3382415071262071e-5,89356.78341459113
93,0.007889986038208008,3252.6313902624584,1.2257873559660185e-11,1.2946183789244355e-5,89356.78340638461
94,0.0056498050689697266,3252.6313981796416,1.5238848772232253e-11,1.2527047408400165e-5,89356.78339846742
95,0.016169071197509766,3252.6327561269804,1.7624316967334367e-11,5.103679752757435e-6,89356.78204052008
