Iteration,Time,LagrangianValue,x_norm_residual,λ_norm_residual,Dual_gap
1,0.0003299713134765625,-3.79419947419081,2.2222177320917966,1.7888543819998315,5.12453700419081
2,0.00019598007202148438,-0.6769797838291166,9.39188966358397e-16,0.9570402252304658,2.0073173138291165
3,0.0001049041748046875,-1.7017743570154362,1.1959683008324962,0.38131661135557166,3.032111887015436
4,8.392333984375e-5,-1.9541559503197483,0.6094736321502138,0.17329814951074565,3.2844934803197483
5,0.00011587142944335938,-1.9149945950048017,0.11637188111361693,0.12328982023252191,3.2453321250048015
6,8.296966552734375e-5,-1.853428322075753,0.20850855264383042,0.08381460371241006,3.1837658520757532
7,7.510185241699219e-5,-1.7998742156387864,0.1276045188351468,0.06133153336756559,3.1302117456387863
8,8.106231689453125e-5,-1.7696546118191692,0.0627540763339437,0.03708140978024117,3.099992141819169
9,7.796287536621094e-5,-1.7657966425934477,0.012622449689762656,0.019099232208899766,3.0961341725934477
10,7.510185241699219e-5,-1.7654463050889833,0.015407832881490453,0.015784227694140493,3.0957838350889832
11,8.416175842285156e-5,-1.764546841579596,0.00974972862046565,0.013641316095784502,3.094884371579596
12,9.012222290039062e-5,-1.763843746827139,0.008476676387908822,0.012027919689899379,3.094181276827139
13,7.390975952148438e-5,-1.7633254860481782,0.007524216541510329,0.010719666286361652,3.093663016048178
14,8.416175842285156e-5,-1.7629480908034985,0.00674966583039755,0.009638240784791103,3.0932856208034982
15,7.605552673339844e-5,-1.7626799156084016,0.006107340366411496,0.008731505953188994,3.0930174456084014
16,7.510185241699219e-5,-1.76249761819291,0.005566878834456539,0.007961922613018755,3.09283514819291
17,9.799003601074219e-5,-1.762383619016835,0.005106464815230521,0.007301788255718918,3.092721149016835
18,5.817413330078125e-5,-1.762324456271721,0.004710021677340892,0.0067302469942293955,3.092661986271721
19,3.695487976074219e-5,-1.7623096725596503,0.00436545388755778,0.00623132071352154,3.0926472025596503
20,3.695487976074219e-5,-1.7623310421568463,0.00406349500381746,0.0057925779731351585,3.092668572156846
21,6.198883056640625e-5,-1.7623820232302527,0.003796932134979496,0.005404213124998375,3.0927195532302525
22,6.604194641113281e-5,-1.7624573622657644,0.0035600711470060863,0.005058396075163306,3.0927948922657644
23,3.600120544433594e-5,-1.762552803688621,0.0033483599638711825,0.00474880468795651,3.0928903336886213
